Construction Site,Supplier Name,Material Type,Location,Supplier Rating,Supply Capacity (tons/month),Average Delivery Time (days),Cost per Unit (INR),Workforce Allocation,Predicted Delay Reduction (days)
Site_2755,Supplier_25,Steel,Bangalore,2,416,10,257.39,144,7
Site_2756,Supplier_22,Cement,Bangalore,2,177,4,265.94,12,17
Site_2757,Supplier_61,Bricks,Delhi,2,150,7,258.25,14,4
Site_2758,Supplier_81,Concrete,Kolkata,5,270,8,494.94,33,19
Site_2759,Supplier_12,Steel,Chennai,2,128,6,108.97,89,18
Site_2760,Supplier_5,Sand,Chennai,5,56,2,274.49,116,1
Site_2761,Supplier_3,Cement,Chennai,2,405,13,317.37,25,5
Site_2762,Supplier_63,Concrete,Mumbai,5,87,2,194.56,182,15
Site_2763,Supplier_43,Bricks,Bangalore,4,391,5,422.14,135,12
Site_2764,Supplier_83,Sand,Bangalore,3,296,8,358.93,123,10
Site_2765,Supplier_50,Concrete,Bangalore,3,81,6,164.39,185,8
Site_2766,Supplier_81,Steel,Chennai,3,429,1,245.8,36,12
Site_2767,Supplier_61,Concrete,Bangalore,3,133,2,388.96,50,7
Site_2768,Supplier_80,Bricks,Chennai,2,366,5,358.8,158,9
Site_2769,Supplier_19,Cement,Mumbai,4,152,8,387.69,111,16
Site_2770,Supplier_31,Bricks,Delhi,4,300,13,260.37,164,5
Site_2771,Supplier_23,Concrete,Mumbai,3,131,3,363.74,179,17
Site_2772,Supplier_82,Cement,Delhi,5,299,2,429.67,155,11
Site_2773,Supplier_17,Sand,Chennai,2,52,8,182.84,80,19
Site_2774,Supplier_59,Sand,Delhi,3,496,5,168.68,85,0
Site_2775,Supplier_88,Concrete,Kolkata,4,241,4,446.85,42,11
Site_2776,Supplier_36,Cement,Bangalore,3,139,2,222.95,171,17
Site_2777,Supplier_59,Sand,Mumbai,2,57,1,228.17,81,4
Site_2778,Supplier_70,Concrete,Chennai,4,445,14,166.98,164,15
Site_2779,Supplier_59,Steel,Delhi,2,309,12,448.74,167,0
Site_2780,Supplier_62,Steel,Mumbai,2,99,7,323.72,133,19
Site_2781,Supplier_19,Sand,Bangalore,3,56,6,402.78,18,2
Site_2782,Supplier_95,Bricks,Chennai,2,133,11,446.4,64,7
Site_2783,Supplier_7,Concrete,Chennai,5,321,10,182.54,170,17
Site_2784,Supplier_94,Steel,Bangalore,1,216,10,460.34,174,16
Site_2785,Supplier_89,Steel,Mumbai,4,298,3,319.53,177,10
Site_2786,Supplier_48,Steel,Bangalore,2,308,10,409.74,24,16
Site_2787,Supplier_62,Cement,Delhi,3,264,8,395.48,192,16
Site_2788,Supplier_34,Concrete,Chennai,1,143,1,470.03,39,17
Site_2789,Supplier_1,Steel,Kolkata,1,76,14,347.26,105,7
Site_2790,Supplier_40,Sand,Bangalore,2,185,3,235.69,73,2
Site_2791,Supplier_97,Concrete,Bangalore,4,209,9,398.62,67,18
Site_2792,Supplier_58,Concrete,Chennai,5,382,9,294.37,66,14
Site_2793,Supplier_45,Bricks,Delhi,3,258,10,455.99,167,4
Site_2794,Supplier_8,Bricks,Mumbai,1,134,5,320.72,70,15
Site_2795,Supplier_94,Steel,Delhi,5,328,7,403.7,13,16
Site_2796,Supplier_69,Cement,Bangalore,1,464,11,275.71,194,1
Site_2797,Supplier_54,Concrete,Chennai,2,150,1,199.61,107,0
Site_2798,Supplier_47,Bricks,Delhi,1,386,14,191.1,116,14
Site_2799,Supplier_91,Bricks,Kolkata,2,438,6,135.65,169,8
Site_2800,Supplier_26,Steel,Chennai,5,466,14,454.02,25,7
Site_2801,Supplier_44,Cement,Bangalore,5,223,4,218.24,153,7
Site_2802,Supplier_95,Steel,Mumbai,4,379,8,274.62,44,13
Site_2803,Supplier_91,Concrete,Delhi,5,187,10,397.54,62,16
Site_2804,Supplier_38,Cement,Chennai,4,316,14,364.63,164,6
Site_2805,Supplier_67,Cement,Delhi,3,465,5,105.06,192,5
Site_2806,Supplier_4,Steel,Chennai,4,238,13,232.66,159,3
Site_2807,Supplier_74,Cement,Delhi,2,315,7,197.71,102,18
Site_2808,Supplier_13,Steel,Kolkata,3,254,5,108.89,46,1
Site_2809,Supplier_57,Bricks,Mumbai,2,436,5,197.4,72,8
Site_2810,Supplier_13,Concrete,Bangalore,4,155,4,157.85,36,6
Site_2811,Supplier_50,Cement,Delhi,5,350,10,324.54,12,2
Site_2812,Supplier_14,Cement,Kolkata,2,185,11,265.44,23,13
Site_2813,Supplier_19,Concrete,Bangalore,2,248,6,139.99,171,7
Site_2814,Supplier_48,Sand,Delhi,3,196,4,444.06,33,0
Site_2815,Supplier_28,Cement,Bangalore,1,373,11,407.34,159,4
Site_2816,Supplier_94,Steel,Delhi,2,195,14,419.76,11,15
Site_2817,Supplier_53,Cement,Delhi,1,85,10,222.03,116,3
Site_2818,Supplier_65,Concrete,Bangalore,5,185,7,318.33,82,6
Site_2819,Supplier_69,Sand,Bangalore,1,247,6,233.95,122,11
Site_2820,Supplier_4,Bricks,Mumbai,3,178,13,184.91,87,17
Site_2821,Supplier_37,Sand,Bangalore,5,161,12,392.44,174,16
Site_2822,Supplier_2,Concrete,Kolkata,4,225,12,443.64,166,11
Site_2823,Supplier_33,Bricks,Mumbai,1,117,4,414.53,88,0
Site_2824,Supplier_34,Cement,Delhi,4,100,7,406.37,186,15
Site_2825,Supplier_94,Cement,Bangalore,2,423,6,237.59,152,12
Site_2826,Supplier_44,Cement,Delhi,5,393,3,325.5,68,1
Site_2827,Supplier_58,Steel,Mumbai,3,325,4,409.48,141,8
Site_2828,Supplier_84,Cement,Chennai,2,439,13,181.37,72,8
Site_2829,Supplier_82,Steel,Chennai,4,106,5,402.31,170,7
Site_2830,Supplier_82,Concrete,Chennai,1,92,14,494.53,127,0
Site_2831,Supplier_39,Concrete,Delhi,3,436,7,229.58,14,19
Site_2832,Supplier_11,Bricks,Chennai,2,450,7,410.83,178,5
Site_2833,Supplier_77,Bricks,Chennai,4,55,10,325.66,99,2
Site_2834,Supplier_25,Sand,Delhi,3,346,8,416.82,166,19
Site_2835,Supplier_56,Concrete,Chennai,1,79,6,415.74,48,15
Site_2836,Supplier_4,Sand,Chennai,2,131,12,287.53,192,9
Site_2837,Supplier_22,Concrete,Bangalore,4,218,13,115.83,84,19
Site_2838,Supplier_37,Bricks,Bangalore,3,356,11,448.75,56,3
Site_2839,Supplier_63,Concrete,Mumbai,1,224,12,210.36,45,8
Site_2840,Supplier_62,Sand,Delhi,4,214,5,185.05,183,13
Site_2841,Supplier_2,Steel,Mumbai,4,270,6,136.53,142,11
Site_2842,Supplier_43,Bricks,Chennai,5,324,10,416.82,97,2
Site_2843,Supplier_76,Steel,Chennai,5,226,1,238.11,199,1
Site_2844,Supplier_63,Concrete,Delhi,4,241,10,111.57,115,4
Site_2845,Supplier_50,Cement,Mumbai,4,455,2,196.57,117,9
Site_2846,Supplier_90,Cement,Kolkata,2,385,4,466.82,34,5
Site_2847,Supplier_52,Sand,Chennai,3,285,9,161.29,151,7
Site_2848,Supplier_95,Sand,Chennai,2,303,5,231.01,136,5
Site_2849,Supplier_65,Bricks,Kolkata,4,132,1,242.45,103,4
Site_2850,Supplier_75,Steel,Kolkata,3,332,14,310.8,100,9
Site_2851,Supplier_38,Cement,Delhi,1,248,3,165.4,33,6
Site_2852,Supplier_17,Steel,Chennai,3,247,10,393.31,93,13
Site_2853,Supplier_13,Steel,Delhi,2,198,13,415.21,102,2
Site_2854,Supplier_11,Cement,Kolkata,3,378,3,316.82,105,6
Site_2855,Supplier_16,Sand,Bangalore,2,249,7,281.9,159,1
Site_2856,Supplier_53,Bricks,Bangalore,4,175,13,148.62,49,13
Site_2857,Supplier_33,Cement,Kolkata,5,498,5,172.23,13,13
Site_2858,Supplier_48,Steel,Chennai,1,66,1,336.76,197,10
Site_2859,Supplier_62,Bricks,Delhi,1,291,3,232.61,47,4
Site_2860,Supplier_77,Steel,Kolkata,4,194,7,285.92,159,5
Site_2861,Supplier_19,Bricks,Delhi,4,292,7,305.78,34,15
Site_2862,Supplier_10,Concrete,Mumbai,1,174,8,450.63,143,13
Site_2863,Supplier_72,Bricks,Kolkata,2,173,1,204.26,152,9
Site_2864,Supplier_8,Steel,Kolkata,4,304,11,307.23,118,18
Site_2865,Supplier_14,Bricks,Delhi,3,319,11,182.85,96,7
Site_2866,Supplier_36,Concrete,Bangalore,3,374,4,297.32,77,11
Site_2867,Supplier_19,Bricks,Delhi,4,332,4,147.22,194,6
Site_2868,Supplier_57,Concrete,Bangalore,1,270,14,212.62,14,9
Site_2869,Supplier_3,Bricks,Delhi,2,244,14,480.74,19,12
Site_2870,Supplier_57,Bricks,Kolkata,4,497,4,300.4,138,11
Site_2871,Supplier_82,Concrete,Delhi,1,420,6,253.33,20,6
Site_2872,Supplier_49,Sand,Kolkata,2,417,2,269.67,74,11
Site_2873,Supplier_35,Steel,Mumbai,3,306,4,366.99,173,12
Site_2874,Supplier_5,Cement,Chennai,3,269,4,319.68,168,14
Site_2875,Supplier_31,Sand,Chennai,2,142,11,124.25,46,4
Site_2876,Supplier_54,Steel,Bangalore,2,136,11,466.4,52,8
Site_2877,Supplier_62,Sand,Mumbai,5,434,10,204.8,190,6
Site_2878,Supplier_77,Concrete,Mumbai,3,372,12,445.22,36,3
Site_2879,Supplier_78,Steel,Delhi,1,417,8,131.57,26,11
Site_2880,Supplier_60,Cement,Delhi,4,170,8,176.75,126,11
Site_2881,Supplier_53,Bricks,Chennai,1,497,11,415.66,140,14
Site_2882,Supplier_61,Sand,Bangalore,2,474,9,190.71,92,15
Site_2883,Supplier_43,Steel,Delhi,4,95,7,233.21,33,11
Site_2884,Supplier_74,Concrete,Kolkata,4,490,6,323.37,141,13
Site_2885,Supplier_20,Bricks,Mumbai,4,67,11,106.28,170,7
Site_2886,Supplier_34,Steel,Bangalore,2,172,12,407.67,129,14
Site_2887,Supplier_4,Sand,Delhi,4,125,8,136.86,33,1
Site_2888,Supplier_15,Cement,Bangalore,2,374,9,193.99,129,11
Site_2889,Supplier_44,Cement,Delhi,1,275,13,377.51,127,11
Site_2890,Supplier_48,Steel,Bangalore,1,106,1,126.44,15,19
Site_2891,Supplier_96,Steel,Chennai,4,210,8,263.73,123,0
Site_2892,Supplier_69,Bricks,Delhi,2,461,11,144.64,91,4
Site_2893,Supplier_54,Steel,Chennai,5,70,5,467.28,95,10
Site_2894,Supplier_85,Bricks,Mumbai,3,349,11,142.78,109,7
Site_2895,Supplier_57,Bricks,Bangalore,5,145,7,400.41,116,6
Site_2896,Supplier_20,Bricks,Chennai,2,86,7,400.43,117,10
Site_2897,Supplier_56,Sand,Mumbai,4,400,11,489.19,51,1
Site_2898,Supplier_99,Cement,Kolkata,3,410,1,298.71,44,14
Site_2899,Supplier_83,Steel,Delhi,1,432,7,387.07,148,18
Site_2900,Supplier_78,Steel,Chennai,2,151,1,147.98,73,13
Site_2901,Supplier_45,Cement,Mumbai,1,235,7,101.83,144,14
Site_2902,Supplier_44,Bricks,Mumbai,4,112,3,330.94,10,14
Site_2903,Supplier_73,Sand,Delhi,3,250,5,181.01,190,4
Site_2904,Supplier_49,Steel,Kolkata,1,301,12,432.45,28,5
Site_2905,Supplier_55,Sand,Mumbai,1,269,14,349.67,131,8
Site_2906,Supplier_6,Bricks,Mumbai,1,90,1,369.01,103,18
Site_2907,Supplier_7,Bricks,Mumbai,4,196,12,237.82,165,19
Site_2908,Supplier_79,Bricks,Bangalore,4,278,14,481.06,101,2
Site_2909,Supplier_29,Cement,Kolkata,1,198,7,162.43,190,0
Site_2910,Supplier_38,Steel,Kolkata,5,482,9,173.48,81,12
Site_2911,Supplier_48,Steel,Kolkata,3,391,2,127.83,61,1
Site_2912,Supplier_19,Bricks,Delhi,5,277,5,203.77,69,14
Site_2913,Supplier_28,Cement,Mumbai,4,405,11,457.46,75,10
Site_2914,Supplier_94,Bricks,Kolkata,5,314,11,249.53,152,7
Site_2915,Supplier_39,Cement,Bangalore,4,321,2,469.03,132,12
Site_2916,Supplier_21,Steel,Delhi,1,399,5,497.22,45,2
Site_2917,Supplier_26,Sand,Bangalore,2,306,12,387.19,189,6
Site_2918,Supplier_80,Bricks,Kolkata,1,281,12,214.85,193,11
Site_2919,Supplier_93,Sand,Kolkata,2,108,3,331.38,35,11
Site_2920,Supplier_12,Sand,Mumbai,4,372,4,104.39,115,17
Site_2921,Supplier_7,Steel,Mumbai,5,132,7,137.47,158,12
Site_2922,Supplier_86,Bricks,Kolkata,2,435,7,435.22,191,11
Site_2923,Supplier_84,Concrete,Mumbai,3,149,14,258.11,153,0
Site_2924,Supplier_10,Steel,Bangalore,2,206,5,195.56,38,0
Site_2925,Supplier_10,Steel,Kolkata,1,54,3,144.83,103,0
Site_2926,Supplier_99,Concrete,Chennai,2,408,6,205.1,155,12
Site_2927,Supplier_17,Bricks,Bangalore,3,102,4,196.94,12,2
Site_2928,Supplier_42,Bricks,Chennai,3,350,6,188.0,101,17
Site_2929,Supplier_71,Concrete,Chennai,5,144,11,228.55,172,5
Site_2930,Supplier_16,Cement,Delhi,5,181,2,489.79,127,14
Site_2931,Supplier_11,Bricks,Mumbai,1,54,13,197.87,193,16
Site_2932,Supplier_56,Concrete,Chennai,5,375,13,111.07,131,1
Site_2933,Supplier_14,Cement,Chennai,3,282,8,476.15,22,7
Site_2934,Supplier_5,Concrete,Mumbai,5,164,3,425.62,85,8
Site_2935,Supplier_94,Cement,Bangalore,1,104,10,175.35,143,2
Site_2936,Supplier_36,Concrete,Kolkata,5,246,5,457.93,76,9
Site_2937,Supplier_48,Sand,Mumbai,2,112,1,142.51,74,0
Site_2938,Supplier_22,Cement,Bangalore,3,192,9,106.13,53,12
Site_2939,Supplier_46,Steel,Mumbai,1,73,10,328.79,194,12
Site_2940,Supplier_56,Bricks,Mumbai,3,74,9,452.65,169,7
Site_2941,Supplier_1,Sand,Kolkata,3,74,7,165.97,147,8
Site_2942,Supplier_8,Steel,Delhi,4,421,3,257.01,24,2
Site_2943,Supplier_97,Bricks,Kolkata,2,395,7,353.33,165,14
Site_2944,Supplier_82,Concrete,Bangalore,1,115,8,101.56,28,6
Site_2945,Supplier_43,Cement,Chennai,3,414,12,444.32,143,14
Site_2946,Supplier_86,Bricks,Kolkata,4,349,9,440.9,39,0
Site_2947,Supplier_77,Cement,Delhi,3,147,3,317.09,104,2
Site_2948,Supplier_5,Steel,Mumbai,5,64,11,411.34,101,2
Site_2949,Supplier_61,Concrete,Mumbai,3,353,1,164.53,102,14
Site_2950,Supplier_94,Sand,Delhi,4,347,14,477.43,16,7
Site_2951,Supplier_94,Steel,Bangalore,4,414,5,259.58,66,9
Site_2952,Supplier_56,Sand,Bangalore,1,379,14,440.56,66,5
Site_2953,Supplier_88,Sand,Chennai,3,389,8,166.98,15,0
Site_2954,Supplier_80,Cement,Bangalore,5,289,12,370.04,166,10
Site_2955,Supplier_55,Concrete,Chennai,4,234,10,483.82,174,8
Site_2956,Supplier_63,Steel,Kolkata,4,191,11,378.89,122,14
Site_2957,Supplier_50,Sand,Bangalore,3,75,7,131.54,117,4
Site_2958,Supplier_86,Concrete,Chennai,3,118,11,341.74,64,10
Site_2959,Supplier_84,Sand,Bangalore,4,434,8,130.26,78,12
Site_2960,Supplier_43,Concrete,Chennai,2,361,2,111.69,17,11
Site_2961,Supplier_56,Bricks,Mumbai,4,125,7,161.81,38,6
Site_2962,Supplier_55,Sand,Bangalore,1,149,10,493.23,15,10
Site_2963,Supplier_91,Concrete,Mumbai,3,260,4,397.08,80,17
Site_2964,Supplier_40,Cement,Bangalore,2,203,13,489.04,121,16
Site_2965,Supplier_85,Cement,Kolkata,5,215,9,200.92,44,14
Site_2966,Supplier_4,Sand,Kolkata,5,282,2,412.77,103,6
Site_2967,Supplier_55,Steel,Kolkata,4,417,2,347.02,33,13
Site_2968,Supplier_96,Sand,Kolkata,4,176,10,233.23,32,13
Site_2969,Supplier_2,Concrete,Chennai,1,322,9,410.24,135,15
Site_2970,Supplier_98,Sand,Bangalore,1,304,7,209.06,54,6
Site_2971,Supplier_40,Steel,Kolkata,3,248,4,380.96,31,16
Site_2972,Supplier_97,Cement,Kolkata,5,60,14,405.09,62,5
Site_2973,Supplier_31,Concrete,Bangalore,1,256,5,197.58,131,13
Site_2974,Supplier_99,Bricks,Chennai,3,265,14,431.68,110,8
Site_2975,Supplier_95,Sand,Chennai,5,103,5,221.67,15,16
Site_2976,Supplier_69,Bricks,Chennai,3,483,8,167.87,144,13
Site_2977,Supplier_72,Cement,Delhi,5,131,4,127.45,144,1
Site_2978,Supplier_99,Sand,Kolkata,1,431,12,269.51,111,14
Site_2979,Supplier_15,Sand,Delhi,4,342,2,434.04,124,12
Site_2980,Supplier_92,Concrete,Bangalore,3,124,13,414.06,57,13
Site_2981,Supplier_11,Sand,Bangalore,1,182,6,270.1,125,2
Site_2982,Supplier_86,Sand,Delhi,3,66,14,181.9,184,6
Site_2983,Supplier_48,Concrete,Mumbai,3,355,2,249.09,193,11
Site_2984,Supplier_35,Cement,Mumbai,2,159,10,101.51,187,11
Site_2985,Supplier_50,Concrete,Bangalore,5,55,11,194.1,54,9
Site_2986,Supplier_15,Sand,Delhi,3,391,4,229.1,52,10
Site_2987,Supplier_65,Steel,Mumbai,1,141,12,204.68,79,5
Site_2988,Supplier_51,Concrete,Delhi,4,276,14,420.18,187,5
Site_2989,Supplier_27,Sand,Bangalore,3,425,13,377.02,33,11
Site_2990,Supplier_52,Steel,Delhi,2,428,9,331.24,151,2
Site_2991,Supplier_72,Bricks,Bangalore,5,421,1,380.56,55,14
Site_2992,Supplier_56,Sand,Bangalore,5,266,14,138.18,199,19
Site_2993,Supplier_86,Bricks,Kolkata,2,103,2,450.67,171,10
Site_2994,Supplier_45,Sand,Kolkata,3,175,7,304.12,46,12
Site_2995,Supplier_80,Steel,Bangalore,1,146,9,334.03,108,8
Site_2996,Supplier_6,Steel,Delhi,5,132,14,468.6,17,3
Site_2997,Supplier_42,Cement,Kolkata,2,373,10,316.59,161,12
Site_2998,Supplier_46,Steel,Bangalore,2,70,10,353.32,69,12
Site_2999,Supplier_29,Steel,Chennai,1,340,3,321.43,60,8
Site_3000,Supplier_50,Bricks,Chennai,2,389,1,243.27,164,19
Site_3001,Supplier_84,Sand,Bangalore,1,463,2,154.6,141,3
Site_3002,Supplier_87,Bricks,Chennai,5,141,4,145.84,77,15
Site_3003,Supplier_99,Cement,Bangalore,3,478,12,484.81,36,1
Site_3004,Supplier_42,Sand,Bangalore,4,155,8,164.43,146,1
Site_3005,Supplier_78,Sand,Kolkata,2,310,11,220.31,23,11
Site_3006,Supplier_86,Sand,Chennai,5,407,2,302.59,172,17
Site_3007,Supplier_72,Concrete,Delhi,1,277,6,416.4,180,7
Site_3008,Supplier_9,Steel,Chennai,4,54,7,173.11,191,11
Site_3009,Supplier_91,Concrete,Mumbai,4,209,3,139.39,75,19
Site_3010,Supplier_81,Cement,Kolkata,2,209,5,335.54,130,3
Site_3011,Supplier_50,Cement,Delhi,1,325,4,138.85,17,10
Site_3012,Supplier_62,Sand,Bangalore,1,457,11,416.67,136,16
Site_3013,Supplier_48,Concrete,Delhi,3,377,12,362.01,27,7
Site_3014,Supplier_42,Cement,Delhi,3,448,9,419.35,163,11
Site_3015,Supplier_10,Sand,Kolkata,2,496,5,307.42,28,13
Site_3016,Supplier_1,Steel,Mumbai,4,387,14,131.36,163,14
Site_3017,Supplier_99,Concrete,Mumbai,3,384,1,222.51,191,17
Site_3018,Supplier_86,Steel,Delhi,1,160,6,364.53,49,13
Site_3019,Supplier_24,Concrete,Chennai,1,51,5,446.48,18,5
Site_3020,Supplier_79,Cement,Bangalore,3,189,7,477.38,91,12
Site_3021,Supplier_47,Steel,Bangalore,4,320,12,359.32,150,5
Site_3022,Supplier_17,Cement,Kolkata,4,465,1,210.9,133,4
Site_3023,Supplier_76,Bricks,Mumbai,3,229,10,363.14,50,16
Site_3024,Supplier_35,Sand,Mumbai,3,478,5,135.27,127,6
Site_3025,Supplier_33,Cement,Delhi,5,318,7,436.44,75,3
Site_3026,Supplier_15,Bricks,Delhi,2,339,13,468.0,162,19
Site_3027,Supplier_37,Steel,Delhi,2,499,5,497.46,83,12
Site_3028,Supplier_45,Bricks,Mumbai,5,302,7,426.45,29,1
Site_3029,Supplier_16,Steel,Delhi,2,397,3,490.67,34,13
Site_3030,Supplier_92,Cement,Kolkata,5,71,1,448.08,111,14
Site_3031,Supplier_67,Bricks,Mumbai,1,183,12,158.83,140,15
Site_3032,Supplier_72,Bricks,Bangalore,1,414,14,411.33,68,2
Site_3033,Supplier_53,Steel,Bangalore,4,199,13,223.87,79,7
Site_3034,Supplier_3,Concrete,Mumbai,4,371,9,128.75,97,0
Site_3035,Supplier_52,Steel,Delhi,2,94,3,387.72,168,10
Site_3036,Supplier_36,Bricks,Chennai,4,218,5,248.99,73,11
Site_3037,Supplier_5,Cement,Kolkata,4,155,5,341.54,70,15
Site_3038,Supplier_2,Steel,Chennai,4,103,5,399.92,164,0
Site_3039,Supplier_4,Concrete,Mumbai,4,72,6,334.7,94,4
Site_3040,Supplier_13,Concrete,Kolkata,2,137,10,308.45,175,4
Site_3041,Supplier_94,Bricks,Kolkata,4,103,5,154.37,109,7
Site_3042,Supplier_59,Steel,Bangalore,2,74,4,362.96,166,5
Site_3043,Supplier_70,Bricks,Kolkata,4,298,3,123.16,185,2
Site_3044,Supplier_38,Steel,Mumbai,4,374,10,247.98,37,14
Site_3045,Supplier_71,Sand,Bangalore,2,71,4,147.5,195,17
Site_3046,Supplier_84,Concrete,Bangalore,4,449,2,176.19,139,17
Site_3047,Supplier_35,Sand,Mumbai,2,374,12,284.2,82,19
Site_3048,Supplier_57,Cement,Delhi,3,195,14,498.12,59,13
Site_3049,Supplier_75,Concrete,Mumbai,2,130,13,151.35,29,13
Site_3050,Supplier_83,Cement,Chennai,2,331,7,284.35,174,5
Site_3051,Supplier_14,Concrete,Delhi,2,237,10,487.28,38,14
Site_3052,Supplier_81,Cement,Kolkata,1,499,11,168.09,13,18
Site_3053,Supplier_14,Sand,Bangalore,3,204,13,496.18,188,12
Site_3054,Supplier_34,Sand,Mumbai,4,218,12,279.88,126,17
Site_3055,Supplier_54,Steel,Chennai,1,119,1,101.08,141,7
Site_3056,Supplier_8,Concrete,Delhi,3,299,1,370.17,89,19
Site_3057,Supplier_95,Concrete,Bangalore,4,232,10,214.39,180,11
Site_3058,Supplier_46,Concrete,Chennai,2,57,6,317.24,10,0
Site_3059,Supplier_89,Cement,Kolkata,1,336,11,370.21,150,14
Site_3060,Supplier_62,Steel,Bangalore,2,202,1,127.33,172,0
Site_3061,Supplier_52,Concrete,Chennai,5,148,3,299.41,56,2
Site_3062,Supplier_38,Concrete,Kolkata,3,372,1,432.15,27,18
Site_3063,Supplier_84,Cement,Delhi,3,342,3,456.0,103,18
Site_3064,Supplier_16,Steel,Mumbai,2,193,9,192.64,33,2
Site_3065,Supplier_29,Sand,Delhi,3,393,2,394.58,72,17
Site_3066,Supplier_12,Steel,Chennai,4,60,10,180.1,21,16
Site_3067,Supplier_52,Concrete,Mumbai,2,384,8,263.99,143,11
Site_3068,Supplier_78,Steel,Mumbai,3,260,11,347.37,16,3
Site_3069,Supplier_4,Steel,Chennai,2,315,8,251.09,15,1
Site_3070,Supplier_32,Concrete,Bangalore,3,237,3,361.5,34,14
Site_3071,Supplier_36,Concrete,Chennai,4,371,3,452.53,84,15
Site_3072,Supplier_36,Steel,Bangalore,3,119,8,211.19,105,1
Site_3073,Supplier_3,Steel,Bangalore,5,435,4,180.19,126,1
Site_3074,Supplier_42,Bricks,Bangalore,4,69,2,139.56,42,5
Site_3075,Supplier_41,Bricks,Mumbai,2,330,4,410.71,17,14
Site_3076,Supplier_44,Steel,Delhi,2,309,9,145.3,18,4
Site_3077,Supplier_25,Sand,Delhi,2,267,10,305.3,41,10
Site_3078,Supplier_22,Sand,Chennai,1,358,11,388.04,85,9
Site_3079,Supplier_32,Concrete,Kolkata,3,305,7,379.22,121,13
Site_3080,Supplier_52,Steel,Mumbai,5,157,4,220.99,99,7
Site_3081,Supplier_8,Concrete,Chennai,3,226,13,192.98,60,16
Site_3082,Supplier_50,Concrete,Kolkata,1,446,6,149.98,71,4
Site_3083,Supplier_90,Concrete,Kolkata,4,302,7,423.49,170,3
Site_3084,Supplier_56,Steel,Bangalore,4,271,13,178.5,133,5
Site_3085,Supplier_13,Sand,Kolkata,5,403,6,273.92,145,13
Site_3086,Supplier_76,Cement,Kolkata,5,100,12,348.48,167,11
Site_3087,Supplier_65,Sand,Mumbai,3,337,7,264.83,103,1
Site_3088,Supplier_83,Concrete,Bangalore,3,388,11,375.21,112,5
Site_3089,Supplier_62,Steel,Bangalore,2,281,1,402.6,16,17
Site_3090,Supplier_64,Cement,Bangalore,5,268,10,469.88,109,7
Site_3091,Supplier_3,Concrete,Chennai,3,159,11,151.65,164,17
Site_3092,Supplier_86,Concrete,Kolkata,5,479,7,290.18,179,17
Site_3093,Supplier_56,Cement,Kolkata,1,473,13,116.65,108,8
Site_3094,Supplier_1,Bricks,Mumbai,3,154,13,371.03,172,7
Site_3095,Supplier_18,Concrete,Kolkata,4,198,13,327.55,135,17
Site_3096,Supplier_90,Concrete,Delhi,2,310,8,121.12,101,17
Site_3097,Supplier_60,Cement,Bangalore,3,454,13,295.09,75,6
Site_3098,Supplier_30,Concrete,Mumbai,4,443,12,263.77,193,6
Site_3099,Supplier_14,Sand,Bangalore,4,481,3,314.11,60,3
Site_3100,Supplier_90,Bricks,Mumbai,4,162,1,336.2,83,1
Site_3101,Supplier_9,Sand,Chennai,1,255,13,476.05,145,6
Site_3102,Supplier_72,Steel,Delhi,4,222,1,375.84,138,17
Site_3103,Supplier_27,Concrete,Bangalore,1,355,2,104.76,86,7
Site_3104,Supplier_98,Cement,Bangalore,1,291,3,321.19,139,0
Site_3105,Supplier_60,Cement,Bangalore,4,132,10,289.99,177,13
Site_3106,Supplier_61,Concrete,Kolkata,5,208,11,426.48,115,7
Site_3107,Supplier_41,Concrete,Kolkata,2,454,13,373.59,150,7
Site_3108,Supplier_9,Bricks,Chennai,1,190,10,320.4,102,3
Site_3109,Supplier_29,Steel,Mumbai,5,212,8,421.9,197,14
Site_3110,Supplier_60,Bricks,Bangalore,1,400,1,492.34,83,8
Site_3111,Supplier_80,Cement,Chennai,1,205,10,112.17,172,4
Site_3112,Supplier_65,Sand,Chennai,5,105,2,381.35,155,12
Site_3113,Supplier_44,Bricks,Chennai,1,409,6,453.23,148,12
Site_3114,Supplier_90,Cement,Kolkata,1,174,10,125.13,34,0
Site_3115,Supplier_1,Steel,Kolkata,3,467,12,320.09,65,13
Site_3116,Supplier_1,Bricks,Mumbai,4,255,12,480.85,80,9
Site_3117,Supplier_59,Sand,Chennai,4,50,2,297.86,113,1
Site_3118,Supplier_33,Cement,Mumbai,1,212,11,232.04,71,0
Site_3119,Supplier_13,Bricks,Bangalore,1,233,3,234.18,65,15
Site_3120,Supplier_5,Bricks,Delhi,3,376,5,411.56,66,16
Site_3121,Supplier_71,Concrete,Chennai,1,204,11,183.71,51,12
Site_3122,Supplier_15,Cement,Chennai,2,345,8,243.0,137,12
Site_3123,Supplier_37,Steel,Kolkata,1,225,7,176.73,149,6
Site_3124,Supplier_56,Concrete,Kolkata,1,260,5,322.57,139,16
Site_3125,Supplier_30,Bricks,Delhi,5,317,7,211.17,19,9
Site_3126,Supplier_41,Sand,Mumbai,1,52,5,175.31,108,9
Site_3127,Supplier_54,Sand,Delhi,1,116,14,318.22,106,10
Site_3128,Supplier_41,Cement,Chennai,5,460,11,137.86,194,7
Site_3129,Supplier_59,Concrete,Mumbai,2,91,4,439.16,96,5
